计算文件哈希值
hash,size,count,files
e83ac3c80a6482b83578c3ef6cfed4b9,3286,2,.venv/lib/python3.13/site-packages/packaging/_elffile.py|.venv/lib/python3.13/site-packages/pip/_vendor/packaging/_elffile.py
b1b3cdc02b931efdc0eb071e59f2ad4f,3263,2,.venv/lib/python3.13/site-packages/rich/bar.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/bar.py
f8d00a391338c4fdad1379e6b8720b6e,3092,2,.venv/lib/python3.13/site-packages/pygments/scanner.py|.venv/lib/python3.13/site-packages/pip/_vendor/pygments/scanner.py
7c870b80e0288e69605e63164d5d52f3,3072,2,.venv/lib/python3.13/site-packages/pygments/regexopt.py|.venv/lib/python3.13/site-packages/pip/_vendor/pygments/regexopt.py
2fc711cf5b4a1a8ac92aab0bd4e13284,2947,2,.venv/lib/python3.13/site-packages/packaging/requirements.py|.venv/lib/python3.13/site-packages/pip/_vendor/packaging/requirements.py
077948910ae6fb44dc6e58d3d25d6aee,2912,2,.venv/lib/python3.13/site-packages/requests/structures.py|.venv/lib/python3.13/site-packages/pip/_vendor/requests/structures.py
d0d487bb6b89df7d122f768d8f1f2f2d,2694,2,.venv/lib/python3.13/site-packages/packaging/_musllinux.py|.venv/lib/python3.13/site-packages/pip/_vendor/packaging/_musllinux.py
6a7b170b06ab238919af8f24cbf5a63a,2484,2,.venv/lib/python3.13/site-packages/rich/filesize.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/filesize.py
568465f15f5be4c436b8691ea4fbbbbe,608,5,.venv/lib/python3.13/site-packages/opentelemetry/version/__init__.py|.venv/lib/python3.13/site-packages/opentelemetry/exporter/otlp/proto/http/version/__init__.py|.venv/lib/python3.13/site-packages/opentelemetry/exporter/otlp/proto/common/version/__init__.py|.venv/lib/python3.13/site-packages/opentelemetry/sdk/version/__init__.py|.venv/lib/python3.13/site-packages/opentelemetry/proto/version/__init__.py
d85bc9e9a2089271af0b0a23d06c2304,2128,2,.venv/lib/python3.13/site-packages/rich/_export_format.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/_export_format.py
073f71233a94a8e7e629ea60064842ca,1910,2,.venv/lib/python3.13/site-packages/pygments/filter.py|.venv/lib/python3.13/site-packages/pip/_vendor/pygments/filter.py
1b295d1420a220f7472fbe79ec1eb0c1,1898,2,.venv/lib/python3.13/site-packages/idna/intranges.py|.venv/lib/python3.13/site-packages/pip/_vendor/idna/intranges.py
cd3980f1ae930b4ceaa5b406141d20d3,1891,2,.venv/lib/python3.13/site-packages/pygments/plugin.py|.venv/lib/python3.13/site-packages/pip/_vendor/pygments/plugin.py
fe1c45ede5eaa2eaa3aff71f210afb26,1732,2,htmlcov/favicon_32_cb_58284776.png|.venv/lib/python3.13/site-packages/coverage/htmlfiles/favicon_32.png
bc6640c4d3820eb45646cd289ccc5755,1718,2,.venv/lib/python3.13/site-packages/pygments/console.py|.venv/lib/python3.13/site-packages/pip/_vendor/pygments/console.py
eedd79e924fc4c14dd6f3df7d8f460e3,1683,2,.venv/lib/python3.13/site-packages/rich/file_proxy.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/file_proxy.py
9dfff48651ad4c1cd36b1229e869d749,1495,2,.venv/lib/python3.13/site-packages/requests/_internal_utils.py|.venv/lib/python3.13/site-packages/pip/_vendor/requests/_internal_utils.py
